"index,Date,High,Low,Open,Close,Volume,Adj Close,Stock"
"0,2020-01-01 00:00:00,81.9625015258789,73.1875,74.05999755859375,77.37750244140625,2934370400.0,76.14793395996094,Apple"
"1,2020-02-01 00:00:00,81.80500030517578,64.09249877929688,76.07499694824219,68.33999633789062,3019279200.0,67.2540512084961,Apple"
"2,2020-03-01 00:00:00,76.0,53.15250015258789,70.56999969482422,63.5724983215332,6280072400.0,62.710784912109375,Apple"
"3,2020-04-01 00:00:00,73.63249969482422,59.224998474121094,61.625,73.44999694824219,3265299200.0,72.45439147949219,Apple"
"4,2020-05-01 00:00:00,81.05999755859375,71.4625015258789,71.5625,79.48500061035156,2805936000.0,78.4075927734375,Apple"
"5,2020-06-01 00:00:00,93.09500122070312,79.30249786376953,79.4375,91.19999694824219,3243375600.0,90.20732879638672,Apple"
"6,2020-07-01 00:00:00,106.41500091552734,89.1449966430664,91.27999877929688,106.26000213623047,3020283200.0,105.1033935546875,Apple"
"7,2020-08-01 00:00:00,131.0,107.89250183105469,108.19999694824219,129.0399932861328,4070061100.0,127.63544464111328,Apple"
"8,2020-09-01 00:00:00,137.97999572753906,103.0999984741211,132.75999450683594,115.80999755859375,3885245100.0,114.75598907470703,Apple"
"9,2020-10-01 00:00:00,125.38999938964844,107.72000122070312,117.63999938964844,108.86000061035156,2894666500.0,107.8692398071289,Apple"
"10,2020-11-01 00:00:00,121.98999786376953,107.31999969482422,109.11000061035156,119.05000305175781,2123077300.0,117.96649932861328,Apple"
"11,2020-12-01 00:00:00,138.7899932861328,120.01000213623047,121.01000213623047,132.69000244140625,2322189600.0,131.70919799804688,Apple"
"12,2021-01-01 00:00:00,145.08999633789062,126.37999725341797,133.52000427246094,131.9600067138672,2240262000.0,130.98460388183594,Apple"
"13,2021-02-01 00:00:00,137.8800048828125,118.38999938964844,133.75,121.26000213623047,1833855600.0,120.36368560791016,Apple"
"14,2021-03-01 00:00:00,128.72000122070312,116.20999908447266,123.75,122.1500015258789,2650418200.0,121.42829895019531,Apple"
"15,2021-04-01 00:00:00,137.07000732421875,122.48999786376953,123.66000366210938,131.4600067138672,1889857500.0,130.68328857421875,Apple"
"16,2021-05-01 00:00:00,134.07000732421875,122.25,132.0399932861328,124.61000061035156,1711934900.0,123.87374877929688,Apple"
"17,2021-06-01 00:00:00,137.41000366210938,123.12999725341797,125.08000183105469,136.9600067138672,1606590000.0,136.38204956054688,Apple"
"18,2021-07-01 00:00:00,150.0,135.75999450683594,136.60000610351562,145.86000061035156,1919035100.0,145.2445068359375,Apple"
"19,2021-08-01 00:00:00,153.49000549316406,144.5,146.36000061035156,151.8300018310547,1461542800.0,151.18930053710938,Apple"
"20,2021-09-01 00:00:00,157.25999450683594,141.27000427246094,152.8300018310547,141.5,1797835100.0,141.11399841308594,Apple"
"21,2021-10-01 00:00:00,153.1699981689453,138.27000427246094,141.89999389648438,149.8000030517578,1565079200.0,149.391357421875,Apple"
"22,2021-11-01 00:00:00,165.6999969482422,147.47999572753906,148.99000549316406,165.3000030517578,1691029000.0,164.84909057617188,Apple"
"23,2021-12-01 00:00:00,182.1300048828125,157.8000030517578,167.47999572753906,177.57000732421875,2444766700.0,177.34405517578125,Apple"
"24,2020-01-01 00:00:00,64.875,57.817501068115234,59.6875,59.10749816894531,612541200.0,58.948585510253906,Nvidia"
"25,2020-02-01 00:00:00,79.08000183105469,58.86249923706055,58.92499923706055,67.51750183105469,1184865200.0,67.33598327636719,Nvidia"
"26,2020-03-01 00:00:00,71.22250366210938,45.16999816894531,69.2249984741211,65.9000015258789,1577395200.0,65.76214599609375,Nvidia"
"27,2020-04-01 00:00:00,76.05000305175781,59.59749984741211,63.912498474121094,73.06999969482422,1127830400.0,72.9171371459961,Nvidia"
"28,2020-05-01 00:00:00,91.81749725341797,70.20999908447266,71.0875015258789,88.75499725341797,1254887600.0,88.5693359375,Nvidia"
"29,2020-06-01 00:00:00,96.42500305175781,86.58000183105469,88.3324966430664,94.97750091552734,971946400.0,94.77880859375,Nvidia"
"30,2020-07-01 00:00:00,107.92250061035156,94.12999725341797,95.2074966430664,106.14749908447266,809445200.0,105.97378540039062,Nvidia"
"31,2020-08-01 00:00:00,135.75,107.15249633789062,107.32499694824219,133.7449951171875,967254400.0,133.526123046875,Nvidia"
"32,2020-09-01 00:00:00,147.2675018310547,117.0425033569336,134.8000030517578,135.30499267578125,1585655200.0,135.0835418701172,Nvidia"
"33,2020-10-01 00:00:00,143.48500061035156,123.0,137.5800018310547,125.33999633789062,802235600.0,125.17231750488281,Nvidia"
"34,2020-11-01 00:00:00,146.9149932861328,123.94999694824219,126.57749938964844,134.01499938964844,759482000.0,133.835693359375,Nvidia"
"35,2020-12-01 00:00:00,137.3125,127.63249969482422,134.92250061035156,130.5500030517578,512099600.0,130.37533569335938,Nvidia"
"36,2021-01-01 00:00:00,139.99249267578125,125.86000061035156,131.04249572753906,129.8975067138672,615417200.0,129.7620391845703,Nvidia"
"37,2021-02-01 00:00:00,153.72500610351562,129.02749633789062,130.53250122070312,137.14500427246094,668032400.0,137.0019989013672,Nvidia"
"38,2021-03-01 00:00:00,139.25,115.66500091552734,138.75,133.4824981689453,764865600.0,133.3433074951172,Nvidia"
"39,2021-04-01 00:00:00,162.1425018310547,135.1125030517578,135.72250366210938,150.09500122070312,671879600.0,149.99024963378906,Nvidia"
"40,2021-05-01 00:00:00,162.77499389648438,134.58999633789062,151.25,162.44500732421875,705438000.0,162.3316192626953,Nvidia"
