"index,Date,High,Low,Open,Close,Volume,Adj Close,Stock"
"32,2017-09-01 00:00:00,47.79999923706055,40.6775016784668,42.48749923706055,44.692501068115234,1444733600.0,44.244667053222656,Nvidia"
"33,2017-10-01 00:00:00,51.97249984741211,44.25,45.20000076293945,51.70249938964844,1142266400.0,51.18442153930664,Nvidia"
"34,2017-11-01 00:00:00,54.66749954223633,47.807498931884766,52.337501525878906,50.1775016784668,1183089600.0,49.67470169067383,Nvidia"
"35,2017-12-01 00:00:00,50.07500076293945,45.14500045776367,49.82749938964844,48.375,1011221600.0,47.923545837402344,Nvidia"
"36,2018-01-01 00:00:00,62.317501068115234,48.625,48.94499969482422,61.45000076293945,1145621600.0,60.87651062011719,Nvidia"
"37,2018-02-01 00:00:00,62.99250030517578,51.0,59.630001068115234,60.5,1491552800.0,59.93537902832031,Nvidia"
"38,2018-03-01 00:00:00,63.625,54.25,60.477500915527344,57.897499084472656,1411844000.0,57.3928108215332,Nvidia"
"39,2018-04-01 00:00:00,59.8125,52.57500076293945,57.185001373291016,56.224998474121094,1114400800.0,55.73489761352539,Nvidia"
"40,2018-05-01 00:00:00,65.125,55.54999923706055,56.14250183105469,63.04750061035156,1197824000.0,62.497928619384766,Nvidia"
"41,2018-06-01 00:00:00,67.30000305175781,58.752498626708984,63.5,59.224998474121094,878554000.0,58.74504852294922,Nvidia"
"42,2018-07-01 00:00:00,64.1500015258789,58.314998626708984,58.522499084472656,61.21500015258789,632187600.0,60.71892166137695,Nvidia"
"43,2018-08-01 00:00:00,70.43000030517578,59.68000030517578,61.532501220703125,70.16999816894531,1091783600.0,69.60137176513672,Nvidia"
"44,2018-09-01 00:00:00,71.30500030517578,64.66999816894531,70.0374984741211,70.25499725341797,634020000.0,69.72379302978516,Nvidia"
"45,2018-10-01 00:00:00,73.19000244140625,44.002498626708984,71.04000091552734,52.70750045776367,1297797600.0,52.3089714050293,Nvidia"
"46,2018-11-01 00:00:00,55.5,33.32749938964844,53.07500076293945,40.85749816894531,1616234000.0,40.548561096191406,Nvidia"
"47,2018-12-01 00:00:00,43.66999816894531,31.114999771118164,43.150001525878906,33.375,1245140800.0,33.15578842163086,Nvidia"
"48,2019-01-01 00:00:00,40.220001220703125,31.922500610351562,32.65999984741211,35.9375,1687099200.0,35.701454162597656,Nvidia"
"49,2019-02-01 00:00:00,41.31999969482422,35.64500045776367,36.125,38.564998626708984,1144572800.0,38.31168746948242,Nvidia"
"50,2019-03-01 00:00:00,46.25,36.20000076293945,39.067501068115234,44.88999938964844,1206854000.0,44.64111328125,Nvidia"
"51,2019-04-01 00:00:00,48.36750030517578,43.32500076293945,45.814998626708984,45.25,943778000.0,44.99911880493164,Nvidia"
"52,2019-05-01 00:00:00,46.217498779296875,33.84749984741211,45.77750015258789,33.8650016784668,1118075200.0,33.677242279052734,Nvidia"
"53,2019-06-01 00:00:00,41.342498779296875,33.150001525878906,33.977500915527344,41.057498931884766,823334000.0,40.87645721435547,Nvidia"
"54,2019-07-01 00:00:00,44.72249984741211,38.75,43.14250183105469,42.18000030517578,841598400.0,41.99401092529297,Nvidia"
"55,2019-08-01 00:00:00,43.36249923706055,36.84749984741211,42.28499984741211,41.877498626708984,945032800.0,41.69284439086914,Nvidia"
"56,2019-09-01 00:00:00,47.099998474121094,40.8125,41.14500045776367,43.51750183105469,634776800.0,43.36850357055664,Nvidia"
"57,2019-10-01 00:00:00,52.224998474121094,42.532501220703125,43.75,50.255001068115234,769617200.0,50.08293914794922,Nvidia"
"58,2019-11-01 00:00:00,55.352500915527344,49.647499084472656,49.900001525878906,54.185001373291016,732180000.0,53.99948501586914,Nvidia"
"59,2019-12-01 00:00:00,60.45249938964844,50.092498779296875,54.1150016784668,58.82500076293945,654353200.0,58.66685104370117,Nvidia"
"60,2020-01-01 00:00:00,64.875,57.817501068115234,59.6875,59.10749816894531,612541200.0,58.948585510253906,Nvidia"
"61,2020-02-01 00:00:00,79.08000183105469,58.86249923706055,58.92499923706055,67.51750183105469,1184865200.0,67.33596801757812,Nvidia"
"62,2020-03-01 00:00:00,71.22250366210938,45.16999816894531,69.2249984741211,65.9000015258789,1577395200.0,65.76213836669922,Nvidia"
"63,2020-04-01 00:00:00,76.05000305175781,59.59749984741211,63.912498474121094,73.06999969482422,1127830400.0,72.91712951660156,Nvidia"
"64,2020-05-01 00:00:00,91.81749725341797,70.20999908447266,71.0875015258789,88.75499725341797,1254887600.0,88.56932067871094,Nvidia"
"65,2020-06-01 00:00:00,96.42500305175781,86.58000183105469,88.3324966430664,94.97750091552734,971946400.0,94.77880859375,Nvidia"
"66,2020-07-01 00:00:00,107.92250061035156,94.12999725341797,95.2074966430664,106.14749908447266,809445200.0,105.9737777709961,Nvidia"
"67,2020-08-01 00:00:00,135.75,107.15249633789062,107.32499694824219,133.7449951171875,967254400.0,133.526123046875,Nvidia"
"68,2020-09-01 00:00:00,147.2675018310547,117.0425033569336,134.8000030517578,135.30499267578125,1585655200.0,135.0835723876953,Nvidia"
"69,2020-10-01 00:00:00,143.48500061035156,123.0,137.5800018310547,125.33999633789062,802235600.0,125.17230224609375,Nvidia"
"70,2020-11-01 00:00:00,146.9149932861328,123.94999694824219,126.57749938964844,134.01499938964844,759482000.0,133.83570861816406,Nvidia"
"71,2020-12-01 00:00:00,137.3125,127.63249969482422,134.92250061035156,130.5500030517578,512099600.0,130.37535095214844,Nvidia"
"72,2021-01-01 00:00:00,139.99249267578125,125.86000061035156,131.04249572753906,129.8975067138672,615417200.0,129.76205444335938,Nvidia"
"73,2021-02-01 00:00:00,153.72500610351562,129.02749633789062,130.53250122070312,137.14500427246094,668032400.0,137.00198364257812,Nvidia"
"74,2021-03-01 00:00:00,139.25,115.66500091552734,138.75,133.4824981689453,764865600.0,133.3433074951172,Nvidia"
"75,2021-04-01 00:00:00,162.1425018310547,135.1125030517578,135.72250366210938,150.09500122070312,671879600.0,149.990234375,Nvidia"
"76,2021-05-01 00:00:00,162.77499389648438,134.58999633789062,151.25,162.44500732421875,705438000.0,162.3316192626953,Nvidia"
"77,2021-06-01 00:00:00,201.625,159.03250122070312,162.6999969482422,200.02499389648438,1027329200.0,199.8853759765625,Nvidia"
"78,2021-07-01 00:00:00,208.75,178.65499877929688,201.25,194.99000549316406,782307700.0,194.8985595703125,Nvidia"
"79,2021-08-01 00:00:00,230.42999267578125,187.6199951171875,197.0,223.85000610351562,641638600.0,223.74501037597656,Nvidia"
"80,2021-09-01 00:00:00,229.86000061035156,204.6699981689453,224.85000610351562,207.16000366210938,499898600.0,207.09934997558594,Nvidia"
"81,2021-10-01 00:00:00,257.0899963378906,195.5500030517578,207.5,255.6699981689453,497107800.0,255.59515380859375,Nvidia"
"82,2021-11-01 00:00:00,346.4700012207031,252.27000427246094,256.489990234375,326.760009765625,1081117000.0,326.6643371582031,Nvidia"
"83,2021-12-01 00:00:00,332.8900146484375,271.45001220703125,332.19000244140625,294.1099853515625,1105850500.0,294.02386474609375,Nvidia"
